ID_Reservasi,Rute,Tanggal,Tipe_Reservasi,Nama,No_HP,Jumlah_Penumpang,Waktu_Penjemputan,Alamat_Jemput,Kendaraan,Harga,Airlines_Code,Airlines_Company,Departure_Airport,Arrival_Airport,Durasi,Alamat_Antar
KR-0232,MALANG-JUANDA,22-05-2025,charter_drop,"Drs. Mahfud Suartini, S.Pd",08314237887,8,09:19,"Jl. Jl. Medokan Ayu No. 31, MALANG",H-2,545000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0233,MALANG-SURABAYA,06-01-2025,charter_harian,"R.M. Balamantri Hutapea, S.Kom",08568722109,10,22:00,"Jl. Jalan Antapani Lama No. 19, MALANG",Z-1,1950000,,,,,8.0,"Jl. Gang Medokan Ayu No. 160, SURABAYA"
KR-0234,MALANG-JUANDA,05-04-2024,charter_drop,Bakiadi Megantara,08094908557,3,08:51,"Jl. Gang Indragiri No. 227, MALANG",Z-1,420000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0235,MALANG-SURABAYA,01-11-2025,charter_harian,Latika Samosir,08542969440,3,20:54,"Jl. Gang Ahmad Yani No. 164, MALANG",H-2,1300000,,,,,2.0,"Jl. Gang Sukajadi No. 85, SURABAYA"
KR-0236,MALANG-JUANDA,02-01-2024,reguler,"Rachel Hassanah, S.T.",08430729848,10,17:51,"Jl. Gang Cihampelas No. 202, MALANG",Z-1,1975000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0237,MALANG-JUANDA,25-03-2025,reguler,Maryanto Kuswandari,08553186682,4,12:10,"Jl. Gg. Kutisari Selatan No. 177, MALANG",R-1,800000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0238,JUANDA-MALANG,15-08-2025,charter_drop,"Juli Habibi, S.Farm",08214466445,4,18:23,"Jl. Gang Ahmad Yani No. 23, JUANDA",R-1,495000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0239,MALANG-SURABAYA,28-02-2024,charter_harian,Budi Siregar,08032316469,7,16:53,"Jl. Jalan Merdeka No. 73, MALANG",R-1,1000000,,,,,4.0,"Jl. Gg. Surapati No. 170, SURABAYA"
KR-0240,MALANG-JUANDA,31-01-2025,reguler,KH. Cahyadi Astuti,08779873923,5,15:35,"Jl. Gg. Dipenogoro No. 264, MALANG",V-52,950000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0241,MALANG-SURABAYA,21-10-2024,charter_harian,Almira Hidayat,08241348289,2,13:41,"Jl. Jl. Rajawali Barat No. 166, MALANG",H-2,1200000,,,,,10.0,"Jl. Gg. Dipenogoro No. 210, SURABAYA"
KR-0242,JUANDA-MALANG,20-06-2025,charter_drop,"Ir. Mulya Mandasari, M.Kom.",08211126964,7,16:44,"Jl. Jl. Kapten Muslihat No. 108, JUANDA",Z-1,520000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0243,MALANG-SURABAYA,04-11-2024,charter_harian,Cici Hartati,08380148464,8,20:30,"Jl. Gang Pacuan Kuda No. 27, MALANG",V-52,1600000,,,,,6.0,"Jl. Jalan Cikutra Barat No. 212, SURABAYA"
KR-0244,JUANDA-MALANG,10-11-2025,charter_drop,"Diah Kurniawan, M.Ak",08519497092,6,17:17,"Jl. Gang Rumah Sakit No. 135, JUANDA",V-50,495000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0245,JUANDA-MALANG,24-02-2025,charter_drop,R.M. Prayogo Tarihoran,08678652133,7,18:28,"Jl. Jl. Cihampelas No. 217, JUANDA",Z-1,570000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0246,SURABAYA-MALANG,28-03-2024,charter_harian,Ir. Jaswadi Mulyani,08790943044,8,10:06,"Jl. Jalan Gedebage Selatan No. 100, SURABAYA",V-52,1500000,,,,,5.0,"Jl. Gg. Wonoayu No. 117, MALANG"
KR-0247,MALANG-JUANDA,20-12-2025,charter_drop,Farhunnisa Sihotang,08202542866,5,20:23,"Jl. Jalan Pasteur No. 67, MALANG",Z-1,570000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0248,JUANDA-MALANG,17-11-2024,charter_drop,Aurora Gunawan,08031228163,4,22:01,"Jl. Gg. Cikutra Timur No. 260, JUANDA",H-2,595000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0249,SURABAYA-MALANG,25-01-2024,charter_harian,"H. Wakiman Pertiwi, S.Gz",08926004186,6,00:37,"Jl. Gg. Rungkut Industri No. 153, SURABAYA",Z-1,1200000,,,,,3.0,"Jl. Jalan W.R. Supratman No. 241, MALANG"
KR-0250,MALANG-JUANDA,09-12-2025,charter_drop,"Jabal Mayasari, M.TI.",08773653296,9,15:56,"Jl. Gg. Rajawali Barat No. 87, MALANG",Z-1,570000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0251,SURABAYA-MALANG,18-06-2024,charter_harian,Latika Padmasari,08878205654,9,21:16,"Jl. Jl. Cempaka No. 31, SURABAYA",Z-1,1900000,,,,,4.0,"Jl. Jl. Suryakencana No. 204, MALANG"
KR-0252,SURABAYA-MALANG,07-02-2025,charter_harian,"Ganep Namaga, M.Kom.",08956519734,3,06:25,"Jl. Gg. Veteran No. 122, SURABAYA",Z-1,1200000,,,,,3.0,"Jl. Jl. Moch. Toha No. 185, MALANG"
KR-0253,JUANDA-MALANG,19-11-2024,charter_drop,"R.A. Tania Saputra, M.TI.",08000618540,4,10:55,"Jl. Gg. Pasirkoja No. 88, JUANDA",V-52,445000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0254,MALANG-SURABAYA,29-01-2024,charter_harian,"H. Jaka Firgantoro, M.TI.",08122717827,6,07:09,"Jl. Gg. W.R. Supratman No. 117, MALANG",H-2,1000000,,,,,3.0,"Jl. Jalan Wonoayu No. 184, SURABAYA"
KR-0255,MALANG-JUANDA,01-09-2025,charter_drop,R.A. Lintang Hasanah,08777623146,4,11:32,"Jl. Jalan M.H Thamrin No. 202, MALANG",X-2,445000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0256,JUANDA-MALANG,18-12-2025,charter_drop,"T. Among Tampubolon, M.M.",08137868823,2,13:26,"Jl. Gang Cempaka No. 179, JUANDA",H-2,395000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0257,JUANDA-MALANG,22-10-2024,charter_drop,Arsipatra Pradipta,08524897336,10,09:23,"Jl. Jl. Dr. Djunjunan No. 182, JUANDA",X-2,595000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0258,SURABAYA-MALANG,14-08-2025,charter_harian,Salimah Haryanti,08918833090,5,12:13,"Jl. Gg. Asia Afrika No. 99, SURABAYA",R-1,650000,,,,,5.0,"Jl. Jl. Waringin No. 233, MALANG"
KR-0259,MALANG-JUANDA,07-02-2024,charter_drop,Hartana Kusmawati,08351262796,5,09:04,"Jl. Gg. Jend. A. Yani No. 128, MALANG",H-2,470000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0260,SURABAYA-MALANG,10-09-2025,charter_harian,Asmianto Halim,08359336742,5,13:45,"Jl. Jl. Suryakencana No. 286, SURABAYA",S-2,1500000,,,,,6.0,"Jl. Gang Suryakencana No. 111, MALANG"
KR-0261,SURABAYA-MALANG,27-06-2025,charter_harian,R.A. Alika Waskita,08842716790,9,07:46,"Jl. Jalan K.H. Wahid Hasyim No. 236, SURABAYA",Z-1,650000,,,,,6.0,"Jl. Jalan Pacuan Kuda No. 94, MALANG"
KR-0262,SURABAYA-MALANG,20-04-2024,charter_harian,Yunita Marpaung,08841851233,10,17:23,"Jl. Jalan Astana Anyar No. 282, SURABAYA",Z-1,1800000,,,,,8.0,"Jl. Jl. Rawamangun No. 87, MALANG"
KR-0263,MALANG-SURABAYA,06-09-2024,charter_harian,"dr. Juli Napitupulu, S.H.",08319261804,6,13:54,"Jl. Gang Cempaka No. 6, MALANG",V-51,1000000,,,,,1.0,"Jl. Gg. Medokan Ayu No. 72, SURABAYA"
KR-0264,JUANDA-MALANG,06-01-2025,reguler,Dt. Mulyanto Nababan,08604456728,1,19:43,"Jl. Jl. Tubagus Ismail No. 215, JUANDA",S-2,230000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0265,MALANG-SURABAYA,29-06-2025,charter_harian,"Unjani Andriani, S.Ked",08214778221,8,08:58,"Jl. Jl. Rajawali Barat No. 288, MALANG",Z-1,650000,,,,,8.0,"Jl. Jalan Yos Sudarso No. 300, SURABAYA"
KR-0266,MALANG-SURABAYA,01-04-2024,charter_harian,dr. Ulya Suryatmi,08408755258,8,15:06,"Jl. Jl. Dipenogoro No. 249, MALANG",R-1,1800000,,,,,10.0,"Jl. Jalan Setiabudhi No. 117, SURABAYA"
KR-0267,JUANDA-MALANG,25-08-2025,reguler,"T. Bancar Nasyidah, S.Sos",08287711709,9,23:42,"Jl. Jl. KH Amin Jasuta No. 153, JUANDA",S-2,1920000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0268,SURABAYA-MALANG,30-06-2024,charter_harian,Ulya Saragih,08920894546,3,22:06,"Jl. Jalan Astana Anyar No. 38, SURABAYA",H-2,1350000,,,,,9.0,"Jl. Jl. Asia Afrika No. 222, MALANG"
KR-0269,MALANG-JUANDA,20-08-2024,charter_drop,Ida Laksita,08941613716,10,12:02,"Jl. Gg. Rajiman No. 220, MALANG",Z-1,595000,OD,Batik Air Malaysia/Malindo,Malang International Airport,Juanda International Airport,,
KR-0270,JUANDA-MALANG,05-04-2025,charter_drop,Jane Simanjuntak,08142471040,2,19:28,"Jl. Jalan Rajawali Barat No. 239, JUANDA",Z-1,950000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0271,JUANDA-MALANG,24-11-2024,reguler,Eko Kuswoyo,08351000222,8,19:17,"Jl. Gg. W.R. Supratman No. 25, JUANDA",H-2,1615000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0272,MALANG-SURABAYA,04-01-2024,charter_harian,R.A. Genta Mulyani,08093664760,4,02:38,"Jl. Jalan Surapati No. 241, MALANG",V-50,650000,,,,,1.0,"Jl. Gg. Suryakencana No. 288, SURABAYA"
KR-0273,MALANG-SURABAYA,25-03-2025,charter_harian,drg. Wardaya Oktaviani,08292418244,6,11:46,"Jl. Gang Gegerkalong Hilir No. 240, MALANG",V-51,1800000,,,,,7.0,"Jl. Jalan K.H. Wahid Hasyim No. 189, SURABAYA"
KR-0274,MALANG-JUANDA,15-11-2024,reguler,Melinda Situmorang,08133494027,7,10:02,"Jl. Jl. Otto Iskandardinata No. 122, MALANG",R-1,1360000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0275,MALANG-SURABAYA,12-02-2025,charter_harian,"Dr. Surya Latupono, S.IP",08271858826,7,12:36,"Jl. Gang Kapten Muslihat No. 90, MALANG",S-2,1200000,,,,,3.0,"Jl. Gang Kutai No. 99, SURABAYA"
KR-0276,SURABAYA-MALANG,19-01-2024,charter_harian,Puti Indah Namaga,08250049469,1,06:21,"Jl. Jalan Cempaka No. 294, SURABAYA",H-2,1000000,,,,,9.0,"Jl. Jalan Astana Anyar No. 240, MALANG"
KR-0277,MALANG-JUANDA,04-10-2025,charter_drop,"Cut Ulva Lailasari, S.E.",08009874477,5,10:11,"Jl. Gg. Pasir Koja No. 257, MALANG",H-2,470000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0278,MALANG-SURABAYA,19-03-2025,charter_harian,Gada Maryati,08548856995,8,02:44,"Jl. Gang M.T Haryono No. 274, MALANG",S-2,1800000,,,,,1.0,"Jl. Gang Pasir Koja No. 293, SURABAYA"
KR-0279,SURABAYA-MALANG,20-09-2025,charter_harian,Prayoga Putra,08355052637,10,22:26,"Jl. Jalan Ahmad Yani No. 24, SURABAYA",X-2,1150000,,,,,7.0,"Jl. Gg. Ciwastra No. 118, MALANG"
KR-0280,MALANG-JUANDA,05-12-2024,reguler,Tasdik Simbolon,08348949528,5,13:44,"Jl. Jl. Ir. H. Djuanda No. 238, MALANG",H-2,950000,GA,Garuda Indonesia,Malang International Airport,Juanda International Airport,,
KR-0281,JUANDA-MALANG,04-06-2025,charter_drop,Ir. Yuliana Gunawan,08378407671,1,18:47,"Jl. Gang Suniaraja No. 242, JUANDA",V-50,445000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0282,JUANDA-MALANG,05-06-2025,reguler,Pangeran Januar,08068487278,7,09:49,"Jl. Jalan Cihampelas No. 182, JUANDA",V-50,1360000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0283,MALANG-JUANDA,27-03-2025,reguler,Dono Saptono,08784365419,2,10:21,"Jl. Jalan Sukajadi No. 123, MALANG",V-51,400000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0284,MALANG-SURABAYA,29-05-2025,charter_harian,"Ade Purnawati, S.H.",08954957475,9,03:30,"Jl. Jalan Ahmad Dahlan No. 37, MALANG",X-2,1500000,,,,,1.0,"Jl. Gg. Dipatiukur No. 4, SURABAYA"
KR-0285,JUANDA-MALANG,07-11-2024,charter_drop,Jasmin Wasita,08623209241,5,09:38,"Jl. Jl. Moch. Ramdan No. 141, JUANDA",H-2,470000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0286,MALANG-SURABAYA,31-03-2025,charter_harian,"R.M. Ridwan Prasasta, S.E.",08746466432,3,17:43,"Jl. Jl. HOS. Cokroaminoto No. 165, MALANG",Z-1,650000,,,,,8.0,"Jl. Gang Indragiri No. 131, SURABAYA"
KR-0287,JUANDA-MALANG,01-03-2025,charter_drop,Banara Permadi,08220213078,2,18:30,"Jl. Gang Pasir Koja No. 149, JUANDA",Z-1,445000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0288,SURABAYA-MALANG,07-02-2025,charter_harian,Dina Pudjiastuti,08996931497,8,11:11,"Jl. Gang Antapani Lama No. 126, SURABAYA",H-2,650000,,,,,6.0,"Jl. Jl. BKR No. 267, MALANG"
KR-0289,SURABAYA-MALANG,13-07-2025,charter_harian,"R. Kamila Gunarto, S.E.",08391183283,9,18:51,"Jl. Jl. Merdeka No. 179, SURABAYA",H-2,1250000,,,,,7.0,"Jl. Gg. Kutisari Selatan No. 20, MALANG"
KR-0290,JUANDA-MALANG,22-11-2024,charter_drop,Hana Yulianti,08884437420,2,04:56,"Jl. Jl. KH Amin Jasuta No. 293, JUANDA",Z-1,395000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0291,JUANDA-MALANG,28-06-2025,charter_drop,Drs. Najwa Hariyah,08702481784,2,12:55,"Jl. Gg. Sukajadi No. 86, JUANDA",Z-1,395000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0292,MALANG-JUANDA,24-06-2024,charter_drop,Argono Rahmawati,08357501664,7,05:58,"Jl. Gg. Jayawijaya No. 113, MALANG",Z-1,520000,ID,Batik Air,Malang International Airport,Juanda International Airport,,
KR-0293,JUANDA-MALANG,12-01-2025,charter_drop,Asirwanda Pradipta,08009888459,3,20:51,"Jl. Jalan Ir. H. Djuanda No. 290, JUANDA",H-2,520000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0294,JUANDA-MALANG,07-12-2025,charter_drop,"Nadia Kusumo, S.IP",08560899766,5,13:18,"Jl. Gg. Sukajadi No. 31, JUANDA",H-2,470000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0295,MALANG-SURABAYA,08-08-2024,charter_harian,Nasab Waluyo,08099473309,1,17:13,"Jl. Gang Gardujati No. 287, MALANG",Z-1,1500000,,,,,7.0,"Jl. Gang Pacuan Kuda No. 32, SURABAYA"
KR-0296,SURABAYA-MALANG,22-11-2024,charter_harian,dr. Zamira Maryadi,08677309799,6,18:26,"Jl. Jl. Jayawijaya No. 12, SURABAYA",Z-1,1250000,,,,,4.0,"Jl. Jl. Gegerkalong Hilir No. 186, MALANG"
KR-0297,MALANG-JUANDA,13-04-2024,reguler,Diah Safitri,08365020099,3,08:19,"Jl. Gg. Jakarta No. 193, MALANG",Z-1,540000,GA,Garuda Indonesia,Malang International Airport,Juanda International Airport,,
KR-0298,JUANDA-MALANG,10-09-2025,reguler,"Puti Jane Samosir, S.T.",08824239387,6,02:18,"Jl. Gang Medokan Ayu No. 40, JUANDA",Z-1,1155000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0299,MALANG-SURABAYA,25-01-2024,charter_harian,Ifa Sihombing,08036466774,3,03:03,"Jl. Jl. Setiabudhi No. 188, MALANG",H-2,1000000,,,,,2.0,"Jl. Gg. Gegerkalong Hilir No. 90, SURABAYA"
KR-0300,SURABAYA-MALANG,27-11-2025,charter_harian,Warta Wastuti,08456220669,8,09:22,"Jl. Jalan PHH. Mustofa No. 278, SURABAYA",V-51,1800000,,,,,8.0,"Jl. Jl. S. Parman No. 65, MALANG"
KR-0301,JUANDA-MALANG,14-03-2024,charter_drop,"dr. Raina Hassanah, S.Ked",08511466614,8,04:59,"Jl. Jl. Rungkut Industri No. 262, JUANDA",R-1,545000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0302,MALANG-SURABAYA,30-04-2025,charter_harian,"Gamblang Budiman, S.E.",08959595483,6,00:19,"Jl. Jl. Rawamangun No. 46, MALANG",X-2,1800000,,,,,6.0,"Jl. Jalan Siliwangi No. 210, SURABAYA"
KR-0303,MALANG-SURABAYA,09-03-2024,charter_harian,drg. Endah Maheswara,08527825257,7,21:32,"Jl. Gang Peta No. 30, MALANG",Z-1,1900000,,,,,9.0,"Jl. Gg. Kapten Muslihat No. 243, SURABAYA"
KR-0304,MALANG-JUANDA,10-08-2025,reguler,"Tugiman Kusmawati, S.Pt",08286324294,7,15:24,"Jl. Gg. Pasteur No. 242, MALANG",Z-1,1360000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0305,SURABAYA-MALANG,21-01-2024,charter_harian,Warji Tarihoran,08674447678,1,01:01,"Jl. Gg. Pasteur No. 218, SURABAYA",H-2,650000,,,,,2.0,"Jl. Gang Rajiman No. 215, MALANG"
KR-0306,MALANG-JUANDA,18-02-2024,reguler,Kawaya Laksita,08225296093,7,17:29,"Jl. Gg. Gegerkalong Hilir No. 4, MALANG",V-52,1360000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0307,MALANG-SURABAYA,01-09-2024,charter_harian,Tgk. Emin Hastuti,08758612207,6,03:21,"Jl. Gang Sukabumi No. 155, MALANG",S-2,1800000,,,,,6.0,"Jl. Jl. Dipatiukur No. 290, SURABAYA"
KR-0308,MALANG-JUANDA,27-11-2024,reguler,Nilam Firmansyah,08517853532,5,12:13,"Jl. Jalan S. Parman No. 258, MALANG",Z-1,950000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0309,JUANDA-MALANG,29-08-2025,charter_drop,Putri Wasita,08110929997,4,21:54,"Jl. Jl. Jayawijaya No. 291, JUANDA",H-2,545000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0310,MALANG-SURABAYA,02-11-2025,charter_harian,Cengkir Yulianti,08463565115,8,18:05,"Jl. Gang Cihampelas No. 207, MALANG",V-51,1550000,,,,,4.0,"Jl. Jl. Pasteur No. 275, SURABAYA"
KR-0311,SURABAYA-MALANG,15-03-2025,charter_harian,Cut Yunita Siregar,08541705397,4,06:51,"Jl. Gang Rawamangun No. 40, SURABAYA",V-50,1000000,,,,,9.0,"Jl. Jalan Raya Ujungberung No. 223, MALANG"
KR-0312,JUANDA-MALANG,07-10-2024,reguler,Dian Oktaviani,08512094501,3,23:20,"Jl. Jalan Monginsidi No. 100, JUANDA",Z-1,690000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0313,MALANG-JUANDA,14-03-2024,reguler,Kani Sudiati,08464651462,9,19:34,"Jl. Gang Gegerkalong Hilir No. 104, MALANG",Z-1,1820000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0314,JUANDA-MALANG,31-07-2025,reguler,Najib Pratiwi,08975560748,4,13:06,"Jl. Gg. Surapati No. 154, JUANDA",H-2,745000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0315,MALANG-SURABAYA,29-01-2024,charter_harian,Ir. Janet Hastuti,08368748589,5,13:33,"Jl. Gang H.J Maemunah No. 49, MALANG",V-52,650000,,,,,7.0,"Jl. Gg. Jamika No. 13, SURABAYA"
KR-0316,JUANDA-MALANG,05-07-2025,charter_drop,Ida Nurdiyanti,08209459787,8,12:05,"Jl. Gang Yos Sudarso No. 55, JUANDA",Z-1,545000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0317,MALANG-SURABAYA,27-12-2025,charter_harian,KH. Jagapati Hasanah,08689246797,3,17:58,"Jl. Gg. Dipatiukur No. 259, MALANG",Z-1,1200000,,,,,2.0,"Jl. Gg. Pelajar Pejuang No. 135, SURABAYA"
KR-0318,SURABAYA-MALANG,16-10-2025,charter_harian,"Argono Dongoran, S.E.",08208853882,9,16:07,"Jl. Gg. Otto Iskandardinata No. 197, SURABAYA",V-52,1000000,,,,,9.0,"Jl. Jalan Ciumbuleuit No. 108, MALANG"
KR-0319,MALANG-JUANDA,17-03-2024,charter_drop,Nilam Kusumo,08957406250,9,20:58,"Jl. Jalan Rawamangun No. 40, MALANG",H-2,670000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0320,SURABAYA-MALANG,03-09-2025,charter_harian,"Tirtayasa Suartini, S.Pt",08427390591,10,05:46,"Jl. Jalan Pasir Koja No. 188, SURABAYA",H-2,1000000,,,,,4.0,"Jl. Gg. Kutisari Selatan No. 12, MALANG"
KR-0321,MALANG-SURABAYA,26-02-2025,charter_harian,Cemani Winarsih,08474962854,6,23:38,"Jl. Jalan Dipenogoro No. 197, MALANG",Z-1,1350000,,,,,1.0,"Jl. Gg. Lembong No. 67, SURABAYA"
KR-0322,JUANDA-MALANG,08-02-2024,reguler,Almira Marpaung,08328993891,6,11:26,"Jl. Jalan Siliwangi No. 153, JUANDA",H-2,1155000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0323,SURABAYA-MALANG,07-01-2024,charter_harian,Jelita Palastri,08092280106,3,15:35,"Jl. Jl. Peta No. 164, SURABAYA",Z-1,1200000,,,,,8.0,"Jl. Jalan Surapati No. 63, MALANG"
KR-0324,MALANG-JUANDA,18-02-2025,reguler,Victoria Saptono,08754420685,7,05:08,"Jl. Jalan R.E Martadinata No. 66, MALANG",Z-1,1360000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0325,MALANG-SURABAYA,28-01-2024,charter_harian,Baktiadi Firgantoro,08057859266,6,08:39,"Jl. Gang Ahmad Yani No. 72, MALANG",Z-1,1000000,,,,,6.0,"Jl. Gg. Rajiman No. 278, SURABAYA"
KR-0326,SURABAYA-MALANG,11-04-2024,charter_harian,Gasti Usada,08863389940,8,00:11,"Jl. Gg. Rajiman No. 283, SURABAYA",V-51,1200000,,,,,5.0,"Jl. Jalan Suniaraja No. 39, MALANG"
KR-0327,MALANG-JUANDA,05-07-2025,charter_drop,"Dt. Karta Adriansyah, S.Psi",08079869069,9,00:49,"Jl. Jalan Indragiri No. 131, MALANG",H-2,570000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0328,JUANDA-MALANG,12-06-2025,charter_drop,drg. Kasusra Mayasari,08431937520,6,22:02,"Jl. Gang Moch. Toha No. 14, JUANDA",H-2,645000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0329,MALANG-SURABAYA,19-05-2024,charter_harian,Tirta Uwais,08887620478,5,14:31,"Jl. Gg. Suniaraja No. 127, MALANG",R-1,1200000,,,,,5.0,"Jl. Gang Kebonjati No. 34, SURABAYA"
KR-0330,MALANG-JUANDA,02-06-2024,reguler,"Belinda Andriani, M.Farm",08673155166,6,23:19,"Jl. Gang Sadang Serang No. 179, MALANG",Z-1,1305000,GA,Garuda Indonesia,Malang International Airport,Juanda International Airport,,
KR-0331,SURABAYA-MALANG,22-08-2024,charter_harian,drg. Lega Megantara,08564363601,6,19:46,"Jl. Jalan Bangka Raya No. 275, SURABAYA",H-2,1850000,,,,,10.0,"Jl. Jl. PHH. Mustofa No. 201, MALANG"
KR-0332,MALANG-JUANDA,15-02-2025,reguler,R. Nadine Wibisono,08862784795,9,06:28,"Jl. Jalan Jend. A. Yani No. 39, MALANG",H-2,1770000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0333,MALANG-SURABAYA,16-11-2025,charter_harian,Dr. Tasdik Wasita,08786981649,9,06:50,"Jl. Gang Rumah Sakit No. 128, MALANG",Z-1,1200000,,,,,10.0,"Jl. Gg. Suryakencana No. 265, SURABAYA"
KR-0334,MALANG-SURABAYA,31-08-2024,charter_harian,Nurul Manullang,08118132994,5,13:59,"Jl. Jalan Rajiman No. 121, MALANG",H-2,650000,,,,,5.0,"Jl. Gang Kapten Muslihat No. 56, SURABAYA"
KR-0335,MALANG-JUANDA,08-08-2025,charter_drop,Rahmi Usada,08296348899,8,10:07,"Jl. Gg. Monginsidi No. 293, MALANG",H-2,545000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0336,MALANG-SURABAYA,19-07-2025,charter_harian,"Drs. Nadine Hardiansyah, S.E.",08217147830,8,06:55,"Jl. Gg. Abdul Muis No. 71, MALANG",Z-1,650000,,,,,6.0,"Jl. Gang Ahmad Yani No. 211, SURABAYA"
KR-0337,MALANG-JUANDA,12-10-2025,charter_drop,Drs. Hasim Haryanti,08344600134,6,04:11,"Jl. Gg. M.H Thamrin No. 219, MALANG",Z-1,495000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0338,MALANG-JUANDA,20-03-2025,reguler,Atma Saefullah,08102635435,2,23:51,"Jl. Gg. Kiaracondong No. 253, MALANG",S-2,510000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0339,MALANG-SURABAYA,27-05-2025,charter_harian,Queen Setiawan,08445222856,1,15:32,"Jl. Jalan Otto Iskandardinata No. 171, MALANG",H-2,1200000,,,,,10.0,"Jl. Gg. Ahmad Yani No. 296, SURABAYA"
KR-0340,SURABAYA-MALANG,09-02-2025,charter_harian,Icha Agustina,08959415150,2,02:36,"Jl. Jl. Dipenogoro No. 174, SURABAYA",H-2,650000,,,,,7.0,"Jl. Gang Wonoayu No. 295, MALANG"
KR-0341,JUANDA-MALANG,07-02-2025,reguler,Shakila Nurdiyanti,08399390757,8,10:22,"Jl. Gang Pelajar Pejuang No. 226, JUANDA",Z-1,1565000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0342,SURABAYA-MALANG,23-08-2025,charter_harian,Laras Winarno,08690824231,4,10:38,"Jl. Gg. Pacuan Kuda No. 214, SURABAYA",H-2,1200000,,,,,10.0,"Jl. Gg. Kiaracondong No. 110, MALANG"
KR-0343,SURABAYA-MALANG,26-02-2024,charter_harian,"dr. Asmuni Wahyudin, S.E.",08262137717,9,22:02,"Jl. Gang Rajawali Barat No. 28, SURABAYA",H-2,1150000,,,,,9.0,"Jl. Jl. Laswi No. 30, MALANG"
KR-0344,JUANDA-MALANG,21-08-2025,charter_drop,Slamet Nugroho,08619254808,6,09:09,"Jl. Gang KH Amin Jasuta No. 125, JUANDA",Z-1,495000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
